Country,Agriculture,Domestic food price level
Albania,1972,6
Algeria,13539,5
Angola,6278,7
Antigua and Barbuda,9,2
Armenia,1750,8
Australia,41261,1
Austria,6021,1
Bahamas,50,1
Bahrain,116,2
Bangladesh,33727,8
Barbados,54,2
Belarus,10802,5
Belgium,8817,1
Belize,247,3
Benin,3496,8
Bhutan,275,5
Bolivia (Plurinational State of),5859,5
Bosnia and Herzegovina,1472,4
Botswana,526,2
Brazil,218299,2
Brunei Darussalam,67,3
Bulgaria,5220,3
Burkina Faso,4214,8
Burundi,2089,7
Cabo Verde,62,5
Cambodia,6295,7
Cameroon,8596,7
Canada,46287,1
Chad,4793,8
Chile,12125,2
China,823236,3
Colombia,21829,2
Congo,603,6
Costa Rica,4303,3
Croatia,2481,3
Cyprus,462,2
Denmark,9279,1
Dominican Republic,4224,4
Ecuador,8233,3
Egypt,33217,7
El Salvador,1543,4
Estonia,886,2
Ethiopia,17217,6
Fiji,220,5
Finland,3166,1
France,57666,1
Gabon,460,5
Gambia,217,7
Germany,51844,1
Ghana,10910,5
Greece,10685,2
Grenada,50,3
Guatemala,7557,7
Guinea,3519,9
Haiti,2077,9
Honduras,3005,4
Hungary,8383,2
Iceland,161,1
India,365063,4
Indonesia,86115,6
Iran (Islamic Republic of),39466,4
Iraq,5418,5
Ireland,6438,1
Israel,4115,2
Italy,39970,2
Jamaica,775,5
Japan,27055,1
Jordan,1805,4
Kenya,11337,5
Kuwait,544,2
Lao People's Democratic Republic,3540,8
Latvia,1403,2
Lesotho,278,4
Lithuania,2885,3
Luxembourg,248,1
Madagascar,4922,7
Malawi,6792,7
Malaysia,16982,2
Maldives,9,3
Mali,6873,7
Malta,101,2
Mauritania,808,10
Mauritius,332,4
Mexico,53789,3
Mongolia,1632,4
Montenegro,164,5
Morocco,14227,5
Mozambique,3729,8
Myanmar,29611,8
Namibia,519,3
Nepal,8348,9
Netherlands,16887,1
New Zealand,16038,2
Nicaragua,2475,4
Niger,4259,7
Nigeria,47065,6
Norway,2077,1
Oman,834,3
Pakistan,64090,7
Panama,1424,3
Paraguay,8406,4
Peru,14091,3
Philippines,30603,6
Poland,29069,2
Portugal,5874,2
Qatar,108,1
Romania,14459,3
Russian Federation,82483,4
Rwanda,3343,8
Saint Kitts and Nevis,3,2
Saint Lucia,24,3
Saint Vincent and the Grenadines,39,3
Sao Tome and Principe,38,9
Saudi Arabia,5178,2
Senegal,2211,8
Serbia,6464,4
Seychelles,5,6
Sierra Leone,1778,6
Singapore,45,1
Slovakia,2088,2
Slovenia,879,2
South Africa,20640,3
Spain,51322,2
Sri Lanka,4867,6
Suriname,202,6
Sweden,4410,1
Switzerland,3833,1
Thailand,47267,4
Togo,1191,6
Trinidad and Tobago,192,4
Tunisia,5744,3
Turkey,61117,3
Uganda,8249,5
Ukraine,45546,5
Uruguay,6024,3
Venezuela (Bolivarian Republic of),8672,4
Yemen,3033,7
Zambia,3191,10
